price,negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches
2350000.0,0,2,1,50,6,2850.0,5.0
13000000.0,1,3,1,109,6,2850.0,37.0
8800000.0,0,4,1,112,16,2850.0,40.0
6700000.0,0,3,1,115,19,2850.0,15.0
14000000.0,1,3,1,99,19,2850.0,38.0
8000000.0,1,3,1,115,19,2850.0,80.0
24000000.0,1,1,1,115,19,2850.0,11.0
14000000.0,1,3,1,99,19,2850.0,11.0
4700000.0,1,1,1,115,19,2850.0,20.0
6250000.0,0,2,1,99,19,2850.0,15.0
16800000.0,1,3,1,115,19,2850.0,15.0
8500000.0,0,3,1,99,19,2850.0,12.5
10000000.0,0,2,1,99,19,2850.0,10.7
15500000.0,0,3,1,97,2,2850.0,40.0
4500000.0,0,2,1,97,2,2850.0,11.0
12000000.0,0,2,1,76,10,2850.0,10.0
9000000.0,1,1,1,76,10,2850.0,2.0
32000000.0,1,1,1,166,4,2850.0,12.8
8500000.0,0,1,1,50,6,2850.0,11.0
5000000.0,0,3,1,50,6,2850.0,15.0
17500000.0,0,1,1,100,14,2850.0,16.0
28000000.0,0,4,2,92,13,2850.0,32.0
30000000.0,0,1,1,48,5,2850.0,80.0
22000000.0,0,5,2,76,10,2850.0,25.0
27500000.0,0,4,4,50,6,2850.0,12.9
41000000.0,1,3,2,166,4,1235.0,6.3
55000000.0,0,3,2,166,4,2850.0,16.0
9000000.0,1,2,1,77,16,2850.0,40.0
7800000.0,0,1,1,77,16,2850.0,87.0
64000000.0,1,6,1,77,16,2850.0,2.0
4500000.0,0,1,1,77,16,2850.0,25.0
16500000.0,1,2,1,77,16,2850.0,30.0
7500000.0,0,2,1,44,20,2850.0,13.0
7500000.0,0,3,1,44,20,2850.0,10.0
8700000.0,0,3,1,166,6,2850.0,10.0
45000000.0,0,3,3,166,4,2850.0,9.0
5800000.0,1,2,1,44,20,2850.0,40.0
29500000.0,0,3,1,166,4,2850.0,11.0
50000000.0,0,3,2,166,4,2300.0,7.0
13500000.0,0,3,2,166,4,2850.0,3.6
35000000.0,0,3,2,166,4,2850.0,7.0
65000000.0,0,8,5,50,6,2850.0,8.0
120000000.0,0,4,4,166,4,2850.0,25.7
30000000.0,0,5,2,166,4,2850.0,14.0
19500000.0,1,3,1,166,4,2850.0,8.0
4500000.0,0,2,1,122,17,2850.0,7.0
19500000.0,1,2,2,76,10,2850.0,105.0
26000000.0,0,5,3,76,10,2850.0,20.0
8000000.0,0,3,2,76,10,2850.0,12.0
30000000.0,0,4,2,76,10,2850.0,66.6
19500000.0,1,5,4,122,17,2850.0,15.0
29500000.0,0,3,2,76,10,2850.0,18.0
17000000.0,0,1,1,152,22,2850.0,11.0
1950000.0,0,1,1,152,22,3500.0,11.0
9200000.0,0,3,1,166,4,2000.0,7.0
12500000.0,0,4,2,138,6,1500.0,10.5
200000.0,0,1,1,76,10,2850.0,66.0
4200000.0,0,2,1,166,4,2850.0,7.0
385000000.0,0,1,1,50,6,3680.0,33.5
27000000.0,1,3,2,50,6,2500.0,14.3
14950000.0,1,4,1,166,4,2850.0,10.0
11000000.0,1,3,3,57,7,2000.0,18.0
12300000.0,0,4,1,50,6,2000.0,12.85
5800000.0,0,3,1,166,4,2850.0,15.8
31000000.0,0,5,2,50,6,2600.0,11.0
14000000.0,0,3,1,62,9,2500.0,23.0
90000000.0,1,3,2,166,6,2850.0,15.75
80000000.0,0,4,2,50,6,3000.0,16.0
29400000.0,0,2,1,48,5,2850.0,16.8
29000000.0,0,3,2,166,4,2850.0,10.4
30000000.0,1,4,1,166,4,2850.0,17.0
55000000.0,0,6,3,166,4,2850.0,7.9
70000000.0,0,6,3,166,4,2850.0,26.75
58000000.0,0,3,1,166,4,2850.0,20.0
65000000.0,0,5,3,166,4,2850.0,8.9
60000000.0,0,6,5,166,4,2850.0,6.75
10000000.0,0,2,1,66,6,2850.0,12.5
52000000.0,0,3,2,166,4,1560.0,11.0
7500000.0,1,4,1,13,9,2850.0,10.0
65000000.0,0,4,3,166,4,3500.0,10.0
30000000.0,0,4,1,166,4,2850.0,40.0
160000000.0,0,4,4,101,15,2850.0,133.0
13950000.0,1,1,1,166,4,2850.0,9.3
25000000.0,0,3,2,166,6,1100.0,11.0
65000000.0,0,6,7,166,4,2850.0,6.0
46000000.0,0,1,1,92,13,2850.0,115.0
130000000.0,0,4,1,34,4,2850.0,10.0
230000000.0,0,4,3,166,4,4300.0,26.5
192000000.0,0,2,1,33,4,2850.0,12.0
40000000.0,0,4,1,166,4,2850.0,10.0
380000000.0,0,1,1,32,4,2850.0,19.1
26000000.0,0,1,1,35,4,2850.0,10.0
68000000.0,1,5,3,166,4,2850.0,10.5
37500000.0,1,6,4,142,4,2850.0,12.2
27000000.0,0,2,1,166,4,2850.0,4.0
140000000.0,1,8,6,37,4,2850.0,11.0
