negotiable,bedrooms,bathrooms,city,district,house_size_sqft,land_size_perches,price
0,1,1,166,4,2850.0,10.0,32000000.0
0,3,2,166,4,2850.0,5.0,12000000.0
0,3,2,8,4,1070.0,11.0,17500000.0
0,4,1,104,13,2850.0,34.0,7250000.0
0,3,2,166,10,2850.0,36.5,43800000.0
0,1,1,73,9,2850.0,31.0,9800000.0
0,4,3,121,4,2850.0,20.25,10125000.0
0,10,8,166,4,2850.0,19.0,55000000.0
0,2,1,13,9,2850.0,11.0,3200000.0
0,3,2,89,4,2850.0,11.0,23500000.0
0,3,1,13,9,2850.0,17.0,9500000.0
1,2,1,73,9,2850.0,10.0,6200000.0
1,5,1,100,14,2850.0,11.0,9000000.0
0,3,1,92,13,2850.0,30.0,1500000.0
0,3,2,154,6,2850.0,19.5,8200000.0
1,5,5,166,4,3050.0,16.5,61000000.0
1,5,4,166,4,4200.0,11.4,86600000.0
0,3,2,50,6,2850.0,11.0,37500000.0
0,4,5,166,4,8000.0,11.0,350000000.0
1,1,1,142,4,2850.0,22.8,110000000.0
1,1,1,166,10,2850.0,22.0,11000000.0
0,2,1,133,4,2850.0,6.0,8000000.0
0,4,3,131,10,2850.0,10.0,46000000.0
0,3,1,48,5,2850.0,11.0,6500000.0
0,3,2,166,4,2850.0,5.0,19000000.0
0,3,1,12,20,2850.0,45.0,7500000.0
0,3,1,166,4,3000.0,10.0,34000000.0
0,2,1,166,4,2850.0,3.0,145000.0
1,2,1,58,4,2850.0,15.0,3500000.0
1,3,1,62,9,2850.0,12.5,13500000.0
1,2,2,32,4,2850.0,3.41,55000000.0
0,2,1,66,6,2850.0,11.5,7500000.0
1,4,4,166,4,2800.0,10.5,48000000.0
0,2,1,166,4,2850.0,6.0,33000000.0
0,2,1,166,6,1150.0,13.3,10500000.0
0,4,2,166,4,2850.0,11.0,52000000.0
0,3,2,85,6,2850.0,26.0,5200000.0
0,5,7,50,6,5000.0,12.75,79000000.0
0,5,1,119,6,2850.0,80.0,17500000.0
0,3,3,8,4,2850.0,14.0,12500000.0
0,1,1,76,10,2850.0,11.0,17500000.0
1,3,2,82,4,2850.0,7.5,16500000.0
1,2,1,50,6,2850.0,18.0,7500000.0
0,1,1,166,4,2850.0,15.0,2500000.0
0,1,1,166,4,2850.0,6.0,7000000.0
0,1,1,153,23,2850.0,2.0,2800000.0
0,6,5,166,4,5154.0,17.0,84000000.0
0,3,1,50,6,2850.0,20.0,150000000.0
1,6,2,166,4,2850.0,12.0,12500000.0
0,1,1,166,4,2850.0,18.0,31000000.0
0,3,1,109,6,2850.0,20.0,14000000.0
